,Address of Headquarters,Date first added,Ticker symbol
0,"Amsterdam, New York",308,MHK
1,"Atlanta, Georgia",5,AYI
2,"Baltimore, Maryland",456,UAA
3,"Baton Rouge, Louisiana",16,ALB
4,"Berwyn, Pennsylvania",36,AME
5,"Beverly, Massachusetts",10,AMG
6,"Bolingbrook, Illinois",454,ULTA
7,"Brentwood, Tennessee",445,TSCO
8,"Broomfield, Colorado",274,LVLT
9,"Cambridge, Massachusetts",473,VRTX
10,"Chicago, Illinois",278,LKQ
11,"Cleveland, Ohio",446,TDG
12,"Columbus, Ohio",302,MTD
13,"Deerfield, Illinois",198,FBHS
14,"Denver, Colorado",103,XEC
15,"Detroit, Michigan",208,GM
16,"Dublin, Ireland",163,ENDP
17,"Everett, Washington",197,FTV
18,"Ewing, New Jersey",101,CHD
19,"Falls Church, Virginia",127,CSRA
20,"Florham Park, New Jersey",504,ZTS
21,"Fort Worth, Texas",28,AAL
22,"Greensboro, North Carolina",377,QRVO
23,"Hamilton, Bermuda",405,SIG
24,"Highlands Ranch, Colorado",453,UDR
25,"Itasca, Illinois",49,AJG
26,"Jersey City, New Jersey",471,VRSK
27,"Kansas City, Missouri",257,KSU
28,"King of Prussia, Pennsylvania",463,UHS
29,"London, United Kingdom",492,WLTW
30,"Lowell, Arkansas",250,JBHT
31,"Madison, Wisconsin",21,LNT
32,"Marlborough, Massachusetts",228,HOLX
33,"Melville, New York",225,HSIC
34,"Memphis, Tennessee",307,MAA
35,"Menlo Park, California",181,FB
36,"Miami, Florida",394,RCL
37,"Midland, Texas",119,CXO
38,"Mountain View, California",23,GOOGL
39,"Nashville, Tennessee",165,EVHC
40,"New York, NY",125,COTY
41,"New York, New York",195,FL
42,"Newark, Delaware",320,NAVI
43,"Palo Alto, California",227,HPE
44,"Philadelphia, Pennsylvania",116,CMCSA
45,"Pittsburgh, Pennsylvania",265,KHC
46,"Plano, Texas",20,ADS
47,"Pleasanton, California",434,COO
48,"Providence, Rhode Island",108,CFG
49,"Raleigh, North Carolina",291,MLM
50,"Redwood City, California",169,EQIX
51,"Roanoke, Virginia",7,AAP
52,"Rockville, Maryland",183,FRT
53,"Salt Lake City, UT",178,EXR
54,"San Diego, California",238,ILMN
55,"San Francisco, California",140,DLR
56,"San Jose, California",349,PYPL
57,"Santa Monica, California",4,ATVI
58,"Seattle, Washington",15,ALK
59,"Silver Spring, Maryland",143,DISCK
60,"St Louis, Missouri",90,CNC
61,"Stamford, Connecticut",96,CHTR
62,"Tarrytown, New York",385,REGN
63,"Vernier, Switzerland",447,RIG
64,"Voorhees, New Jersey",33,AWK
65,"Winston-Salem, North Carolina",216,HBI
66,"Woburn, Massachusetts",407,SWKS
